FocusLevel,WeekDay,HourOfDay
12.2738,5,13
12.7964535,5,13
13.3338614,5,13
13.3005266,5,13
13.2005224,5,13
13.03385,5,13
12.8005066,5,13
12.500495,5,13
12.1338139,5,13
11.7004633,5,13
11.2004442,5,13
10.6337547,5,13
10.0003958,5,13
9.300368,5,13
8.533671,5,13
7.70030451,5,13
6.800269,5,13
5.83356428,5,13
4.80019045,5,13
3.7001462,5,13
4.13484955,5,13
4.12451267,5,13
4.093501,5,13
4.04181576,5,13
3.96945548,5,13
3.87642145,5,13
3.762713,5,13
3.62833047,5,13
4.063358,5,13
4.51198769,5,13
4.50070763,5,13
5.376365,5,13
5.834683,5,13
6.30701351,5,13
6.79361343,5,13
7.29473257,5,13
7.81061125,5,13
8.341482,5,13
8.887562,5,13
8.865343,5,13
8.798686,5,13
8.687592,5,13
8.532059,5,13
12.7337294,5,13
13.2715244,5,13
12.9729156,5,14
17.4822769,5,14
18.00819,5,14
18.5484924,5,14
18.502121,5,14
23.7234573,5,14
24.2430477,5,14
24.7763767,5,14
25.323555,5,14
25.8846741,5,14
25.8199615,5,14
25.6258278,5,14
25.302269,5,14
24.849287,5,14
24.2668819,5,14
23.5550518,5,14
22.7138023,5,14
21.7431278,5,14
20.6430283,5,14
19.4135056,5,14
26.713501,5,14
27.2822,5,14
27.86481,5,14
28.4613647,5,14
29.0718727,5,14
29.696331,5,14
30.3347,5,14
30.9869232,5,14
31.6529217,5,14
32.3325844,5,14
33.0257721,5,14
33.7323265,5,14
33.647995,5,14
45.43759,5,14
46.0301933,5,14
46.6334572,5,14
47.24718,5,14
47.1290627,5,14
46.7747078,5,14
46.18412,5,14
57.2139664,5,14
57.7200356,5,14
58.2342,5,14
58.7562332,5,14
59.2858925,5,14
59.8229027,5,14
59.6733437,5,14
69.8935,5,14
70.30121,5,14
70.71399,5,14
71.13161,5,14
71.5538,5,14
71.9803162,5,14
72.41085,5,14
72.22982,5,14
71.6867447,5,14
70.78161,5,14
69.51441,5,14
79.14354,5,14
79.47184,5,14
86.1768951,5,15
86.39972,5,15
86.62412,5,15
86.84996,5,15
87.07705,5,15
87.30523,5,15
87.53431,5,15
87.3154755,5,15
92.29735,5,15
92.43935,5,15
92.20825,5,15
91.51495,5,15
90.35947,5,15
88.74177,5,15
86.66189,5,15
84.1198044,5,15
81.1155243,5,15
88.74385,5,15
88.9557648,5,15
89.16802,5,15
89.38045,5,15
89.592865,5,15
89.36888,5,15
88.69694,5,15
87.57703,5,15
93.15376,5,15
93.293396,5,15
93.43279,5,15
93.57186,5,15
93.71048,5,15
93.84855,5,15
93.9859543,5,15
94.1226044,5,15
93.8873,5,15
97.10804,5,15
97.17485,5,15
97.24118,5,15
97.30699,5,15
97.37224,5,15
97.4368744,5,15
97.19328,5,15
96.46251,5,15
95.244545,5,15
93.5394,5,15
91.34707,5,15
96.37172,5,15
96.46229,5,15
96.5518646,5,15
96.3104858,5,15
98.5297546,5,15
98.5675049,5,15
98.6048,5,15
98.6416,5,15
98.6778946,5,15
98.71367,5,15
98.74891,5,15
98.7835846,5,15
98.53663,5,15
99.51753,5,15
99.53107,5,15
99.84973,5,16
99.85399,5,16
99.85818,5,16
99.6085358,5,16
98.8596,5,16
99.6551,5,16
99.40596,5,16
98.65855,5,16
97.41286,5,16
99.21755,5,16
99.24023,5,16
99.26247,5,16
99.28428,5,16
99.30565,5,16
99.32657,5,16
99.34705,5,16
99.36709,5,16
99.11867,5,16
98.37342,5,16
97.13133,5,16
95.3924,5,16
93.15665,5,16
98.32586,5,16
98.37767,5,16
98.13173,5,16
99.5571,5,16
99.5709152,5,16
99.58441,5,16
99.59759,5,16
99.3485947,5,16
99.8596954,5,16
99.61005,5,16
98.8611,5,16
97.612854,5,16
95.8653,5,16
99.10942,5,16
98.86165,5,16
99.75481,5,16
99.50542,5,16
99.89347,5,16
99.64374,5,16
98.89454,5,16
97.64587,5,16
95.89773,5,16
93.65013,5,16
90.90305,5,16
87.65652,5,16
83.91052,5,16
79.66505,5,16
74.920105,5,16
69.6757,5,16
63.93182,5,16
57.6884766,5,16
90.88647,5,16
91.17758,5,16
91.46146,5,16
91.73815,5,16
92.00771,5,16
92.2702,5,16
92.5256958,5,16
98.67967,5,17
98.72358,5,17
98.76629,5,17
98.51937,5,17
99.75561,5,17
99.50622,5,17
99.9184952,5,17
99.92124,5,17
99.9239044,5,17
99.6740952,5,17
99.9497757,5,17
99.9514847,5,17
99.95314,5,17
99.95475,5,17
99.9563141,5,17
99.95783,5,17
99.9593048,5,17
99.9607239,5,17
99.9621048,5,17
99.96345,5,17
99.9647446,5,17
99.9659958,5,17
99.96721,5,17
99.96838,5,17
99.71846,5,17
99.97269,5,17
99.97367,5,17
99.97462,5,17
99.97554,5,17
99.9764252,5,17
99.97729,5,17
99.97811,5,17
99.97891,5,17
99.97969,5,17
99.98044,5,17
99.9811554,5,17
99.7312,5,17
99.98201,5,17
99.7320557,5,17
99.98206,5,17
99.98273,5,17
99.98337,5,17
99.9839859,5,17
99.98458,5,17
99.98516,5,17
99.98571,5,17
99.9862442,5,17
99.98676,5,17
99.98726,5,17
99.98774,5,17
99.73777,5,17
99.988,5,17
99.98845,5,17
99.988884,5,17
99.98931,5,17
99.9897156,5,17
99.73974,5,17
98.98982,5,17
99.9603653,5,17
99.96187,5,17
97.71273,5,18
95.9633942,5,18
99.84764,5,18
99.59802,5,18
98.84917,5,18
97.6010742,5,18
95.85374,5,18
93.60716,5,18
90.86135,5,18
87.6163,5,18
83.8720245,5,18
79.6284943,5,18
74.88573,5,18
69.64373,5,18
63.90249,5,18
57.66201,5,18
50.9222946,5,18
43.683342,5,18
35.9451523,5,18
27.7077179,5,18
18.9710522,5,18
9.735147,5,18
0.451406151,5,21
0.9169271,5,21
1.396844,5,21
1.89143384,5,21
1.88670528,5,21
1.87251949,5,21
3.72853518,5,21
4.228527,5,21
4.743437,5,21
7.53036,5,22
8.044928,5,22
8.574449,5,22
8.553013,5,22
12.2308121,5,22
12.7537212,5,22
12.721837,5,22
12.6261845,5,22
12.4667625,5,22
16.48769,5,22
17.00235,5,22
17.5313225,5,22
17.4874935,5,22
17.3560085,5,22
22.137682,5,22
22.6507721,5,22
22.5941448,5,22
22.4242649,5,22
22.14113,5,22
27.1293259,5,22
27.6257153,5,22
28.135231,5,22
28.6579762,5,22
29.19404,5,22
29.1210556,5,22
35.5416832,5,22
