FocusLevel,WeekDay,HourOfDay
1.24772227,7,18
0.961785734,7,18
0.658520043,7,18
0.337924838,7,18
0.451406151,2,12
0.9169271,2,12
0.914634764,2,12
1.823174,2,12
1.818616,2,12
1.80494225,2,12
1.78215265,2,12
1.750247,2,12
1.70922565,2,12
1.65908825,2,12
1.59983516,2,12
1.53146625,2,12
1.45398128,2,12
1.3673805,2,12
1.2716639,2,12
1.16683137,2,12
1.05288291,2,12
0.929818749,2,12
0.797638655,2,12
0.6563427,2,12
0.5059307,2,12
0.346403062,2,12
0.177759513,2,12
0.451406151,2,13
0.450277627,2,13
0.446892083,2,13
0.44124952,2,13
0.890663266,2,13
1.35412967,2,13
1.83192861,2,13
2.32433724,2,13
2.83162117,2,13
2.824542,2,13
5.157692,2,13
5.66760635,2,13
5.653437,2,13
5.61093044,2,13
5.54008532,2,13
5.44090176,2,13
8.20742,2,13
8.71822,2,13
9.243864,2,13
9.784569,2,13
10.340539,2,13
10.3146877,2,13
14.9617863,2,13
15.5037632,2,13
15.465004,2,13
15.3487253,2,13
15.1549292,2,13
14.8836126,2,13
14.5347776,2,13
14.1084242,2,13
13.6045523,2,13
13.0231619,2,13
12.3642511,2,13
11.6278229,2,13
10.8138742,2,13
9.922408,2,13
8.9534235,2,13
7.906919,2,13
6.78289652,2,13
5.581355,2,13
4.302294,2,13
2.945715,2,13
1.5116173,2,13
1.95619988,2,13
2.41468382,2,13
2.88734579,2,14
3.37445974,2,14
3.87629032,2,14
3.86659956,2,14
6.17472935,2,14
6.1592927,2,14
8.412376,2,14
8.904792,2,14
8.88253,2,14
8.815744,2,14
8.704434,2,14
8.5486,2,14
8.348243,2,14
8.10336,2,14
7.813955,2,14
7.48002529,2,14
7.10157156,2,14
6.67859364,2,14
6.211092,2,14
5.69906664,2,14
5.142517,2,14
4.541444,2,14
3.89584637,2,14
3.20572519,2,14
2.47107959,2,14
1.69191039,2,14
0.8682174,2,14
0.451406151,3,12
0.450277627,3,12
0.899651766,3,12
0.897402644,3,12
1.34475756,3,12
1.80610073,3,12
2.281711,3,12
3.646683,3,13
3.63756633,3,13
3.61021614,3,13
3.56463265,3,13
4.911684,3,13
5.388644,3,13
5.88001347,3,13
5.86531353,3,13
8.125456,3,13
8.619414,3,13
9.127922,3,13
9.105103,3,13
9.036643,3,13
8.92254448,3,13
8.762805,3,13
8.557426,3,13
8.306409,3,13
8.009751,3,13
7.66745472,3,13
7.279518,3,13
6.84594154,3,13
6.36672544,3,13
5.84187,3,13
5.2713747,3,13
4.65524,3,13
3.993466,3,13
3.286052,3,13
2.532998,3,13
1.73430514,3,13
0.8899726,3,13
0.451406151,3,13
0.450277627,3,13
0.446892083,3,13
0.8962811,3,13
0.8940404,3,13
0.8873183,3,13
0.876114845,3,13
0.8604299,3,13
1.30795217,3,13
1.76946712,3,13
2.24525452,3,13
2.735589,3,13
2.72875,3,13
2.708233,3,13
2.67403841,3,13
2.62616539,3,13
2.56461477,3,13
2.48938584,3,13
2.184436,3,14
2.09108424,3,14
1.98528528,3,14
1.86703944,3,14
1.7363466,3,14
1.59320688,3,14
1.43762028,3,14
1.2695868,3,14
1.08910632,3,14
0.896178961,3,14
0.6908045,3,14
0.4729833,3,14
0.24271518,3,14
0.451406151,3,14
0.450277627,3,14
0.446892083,3,14
0.44124952,3,14
0.4333499,3,14
0.8827991,3,14
1.346302,3,14
1.8241396,3,14
2.31658673,3,14
2.82391024,3,14
3.34637237,3,14
3.884224,3,14
3.87451339,3,14
3.84538174,3,14
3.796829,3,14
3.728855,3,14
3.64146,3,14
3.53464365,3,14
3.4084065,3,14
3.26274824,3,14
3.09766865,3,14
2.913168,3,14
2.70924616,3,14
2.48590326,3,14
2.24313927,3,14
1.98095417,3,14
5.378191,3,15
5.92306757,3,15
5.90826,3,15
9.692426,3,15
9.668195,3,15
9.595502,3,15
9.474346,3,15
9.30472851,3,15
9.086649,3,15
8.820107,3,15
8.505103,3,15
8.141638,3,15
7.72970963,3,15
7.26931953,3,15
6.760467,3,15
6.203152,3,15
5.597376,3,15
4.943137,3,15
4.240436,3,15
3.48927331,3,15
2.689648,3,15
1.84156084,3,15
0.945011735,3,15
0.451406151,4,13
0.450277627,4,13
0.446892083,4,13
0.44124952,4,13
0.4333499,4,13
0.423193276,4,13
0.4107796,4,13
0.3961089,4,13
0.379181176,4,13
0.3599964,4,13
0.338554621,4,13
0.314855784,4,13
0.288899928,4,13
0.260687053,4,13
0.230217129,4,13
0.680584669,4,14
1.14503276,4,14
1.62384462,4,14
1.61978507,4,14
1.60760617,4,14
1.58730817,4,14
1.55889082,4,14
1.52235436,4,14
1.47769856,4,14
1.42492366,4,14
2.80186367,4,14
3.28940678,4,14
3.79167819,4,14
4.308938,4,14
4.84143162,4,14
5.38940048,4,14
5.375927,4,14
5.33550644,4,14
5.268139,4,14
5.17382431,4,14
5.05256271,4,14
4.904354,4,14
4.729199,4,14
4.52709675,4,14
4.298047,4,14
8.146972,4,14
8.694212,4,14
9.256903,4,14
9.233761,4,14
9.164333,4,14
13.8710384,4,14
14.4199657,4,14
14.3839159,4,14
14.2757664,4,14
14.0955172,4,14
13.8431664,4,14
13.5187178,4,14
